Stock Code,Issuer,Sector,HSI/HKQAA Ratings,MSCI ESG Rating,S&P ESG Rating
148,Kingboard Holdings Ltd.,Industrials - Industrial Engineering,A-,CCC,33
151,Want Want China Holdings Ltd.,Consumer Staples - Food &amp; Beverages,A,BB,42
152,Shenzhen International Holdings Ltd.,Industrials - Industrial Transportation,A-,A,31
165,China Everbright Ltd.,Financials - Other Financials,A,A,28
168,Tsingtao Brewery Co. Ltd. - H Shares,Consumer Staples - Food &amp; Beverages,A,BBB,30
171,Silver Grant International Holdings Group Ltd.,Properties &amp; Construction - Properties,25,,25
173,K. Wah International Holdings Ltd.,Properties &amp; Construction - Properties,BBB-,,28
175,Geely Automobile Holdings Ltd.,Consumer Discretionary - Automobiles,AA-,AA,69
177,Jiangsu Expressway Co. Ltd. - H Shares,Industrials - Industrial Transportation,A-,BB,35
178,Sa Sa International Holdings Ltd.,Healthcare - Other Healthcare,37,,37
179,Johnson Electric Holdings Ltd.,Consumer Discretionary - Automobiles,A+,AA,57
182,Concord New Energy Group Ltd.,Utilities - Utilities,AA,AA,75
189,Dongyue Group Ltd.,Materials - Basic Materials,BBB+,B,23
196,Honghua Group Ltd.,Energy - Oil &amp; Gas,26,,26
200,Melco International Development Ltd.,Consumer Discretionary - Travel &amp; Leisure,A-,BB,44
215,Hutchison Telecommunications Hong Kong Holdings Ltd.,Telecommunications - Telecommunications,A,A,27
220,Uni-President China Holdings Ltd.,Consumer Staples - Food &amp; Beverages,A-,,37
232,Continental Aerospace Technologies Holding Ltd.,Industrials - Industrial Engineering,24,,24
241,Alibaba Health Information Technology Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,AA,52
242,Shun Tak Holdings Ltd.,Conglomerates - Conglomerates,31,,31
256,Citychamp Watch &amp; Jewellery Group Ltd.,Consumer Discretionary - Textiles &amp; Clothing,A,,18
257,China Everbright Environment Group Ltd.,Utilities - Utilities,AA,BB,59
267,CITIC Ltd.,Conglomerates - Conglomerates,A,AA,34
268,Kingdee International Software Group Co. Ltd.,Information Technology - Software &amp; Services,A-,AAA,57
270,Guangdong Investment Ltd.,Utilities - Utilities,A,B,42
272,Shui On Land Ltd.,Properties &amp; Construction - Properties,AA,AAA,43
285,BYD Electronic (International) Co. Ltd.,Information Technology - IT Hardware,BBB+,CCC,39
286,Aidigong Maternal &amp; Child Health Ltd.,Healthcare - Other Healthcare,27,,27
288,WH Group Ltd.,Consumer Staples - Food &amp; Beverages,AA-,A,57
291,China Resources Beer (Holdings) Co. Ltd.,Consumer Staples - Food &amp; Beverages,A-,A,52
293,Cathay Pacific Airways Ltd.,Consumer Discretionary - Travel &amp; Leisure,AA,,61
297,Sinofert Holdings Ltd.,Materials - Basic Materials,A-,BBB,33
300,"Midea Group Co., Ltd. - H Shares",Consumer Discretionary - Household Goods &amp; Electronics,A-,A,63
303,VTech Holdings Ltd.,Information Technology - IT Hardware,AA+,AA,48
305,Wuling Motors Holdings Ltd.,Consumer Discretionary - Automobiles,46,,46
308,China Travel International Investment Hong Kong Ltd.,Consumer Discretionary - Travel &amp; Leisure,BBB-,BBB,22
314,"Sipai Health Technology Co., Ltd.",Healthcare - Pharmaceuticals &amp; Biotechnology,BBB-,,
315,SmarTone Telecommunications Holdings Ltd.,Telecommunications - Telecommunications,BBB,BBB,23
316,Orient Overseas (International) Ltd.,Industrials - Industrial Transportation,AA,BB,67
317,CSSC Offshore &amp; Marine Engineering (Group) Co. Ltd. - H Shs,Industrials - Industrial Engineering,BBB,,26
321,Texwinca Holdings Ltd.,Consumer Discretionary - Textiles &amp; Clothing,24,,24
322,Tingyi (Cayman Islands) Holding Corp.,Consumer Staples - Food &amp; Beverages,A-,BB,61
323,Maanshan Iron &amp; Steel Co. Ltd. - H Shares,Materials - Diversified Metals &amp; Minerals,A-,,28
327,PAX Global Technology Ltd.,Information Technology - IT Hardware,A-,BB,32
330,Esprit Holdings Ltd.,Consumer Discretionary - Textiles &amp; Clothing,36,,36
336,Huabao International Holdings Ltd.,Consumer Staples - Food &amp; Beverages,A,B,28
337,Greenland Hong Kong Holdings Ltd.,Properties &amp; Construction - Properties,25,,25
338,Sinopec Shanghai Petrochemical Co. Ltd. - H Shares,Materials - Basic Materials,BBB+,,34
341,Cafe de Coral Holdings Ltd.,Consumer Discretionary - Travel &amp; Leisure,AA,BB,39
345,Vitasoy International Holdings Ltd.,Consumer Staples - Food &amp; Beverages,AA+,A,61
347,Angang Steel Co. Ltd. - H Shares,Materials - Diversified Metals &amp; Minerals,BBB+,,31
354,Chinasoft International Ltd.,Information Technology - Software &amp; Services,BBB+,BB,37
357,Hainan Meilan International Airport Co. Ltd. - H Shares,Consumer Discretionary - Travel &amp; Leisure,28,,28
358,Jiangxi Copper Co. Ltd. - H Shares,Materials - Diversified Metals &amp; Minerals,BBB,B,33
363,Shanghai Industrial Holdings Ltd.,Conglomerates - Conglomerates,A-,BB,24
371,Beijing Enterprises Water Group Ltd.,Utilities - Utilities,A,BBB,58
384,China Gas Holdings Ltd.,Utilities - Utilities,A,A,66
386,China Petroleum &amp; Chemical Corporation - H Shares,Energy - Oil &amp; Gas,A-,A,46
388,Hong Kong Exchanges and Clearing Ltd.,Financials - Other Financials,AA+,AAA,55
390,China Railway Group Ltd. - H Shares,Properties &amp; Construction - Construction,A-,BB,22
392,Beijing Enterprises Holdings Ltd.,Utilities - Utilities,BBB+,BBB,61
398,Oriental Watch Holdings Ltd.,Consumer Discretionary - Specialty Retail,23,,23
400,"Ingdan, Inc.",Information Technology - Semiconductors,30,,30
410,SOHO China Ltd.,Properties &amp; Construction - Properties,53,,53
412,Shandong Hi-Speed Holdings Group Ltd.,Financials - Other Financials,BBB-,,18
425,Minth Group Ltd.,Consumer Discretionary - Automobiles,A-,A,47
438,IRICO Group New Energy Co. Ltd. - H Shares,Industrials - Industrial Engineering,22,,22
440,Dah Sing Financial Holdings Ltd.,Financials - Banks,A-,BB,31
451,GCL New Energy Holdings Ltd.,Utilities - Utilities,24,,24
460,Sihuan Pharmaceutical Holdings Group Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,A,61
467,United Energy Group Ltd.,Energy - Oil &amp; Gas,BBB,A,26
468,Greatview Aseptic Packaging Co. Ltd.,Industrials - Commercial &amp; Professional Services,30,,30
470,"Wuxi Lead Intelligent Equipment Co., Ltd. - H Shares",Industrials - Industrial Engineering,48,,48
493,GOME Retail Holdings Ltd.,Consumer Discretionary - Specialty Retail,22,,22
496,Kasen International Holdings Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,26,,26
501,"OmniVision Integrated Circuits Group, Inc. - H Shares",Information Technology - Semiconductors,BBB,BBB,28
506,China Foods Ltd.,Consumer Staples - Food &amp; Beverages,A-,B,28
508,Dingyi Group Investment Ltd.,Properties &amp; Construction - Properties,22,,22
511,Television Broadcasts Ltd.,Consumer Discretionary - Media &amp; Entertainment,23,,23
512,Grand Pharmaceutical Group Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,AA,50
517,"COSCO SHIPPING International (Hong Kong) Co., Ltd.",Industrials - Industrial Engineering,B,B,28
522,ASMPT Ltd.,Information Technology - Semiconductors,A,A,37
525,Guangshen Railway Co. Ltd. - H Shares,Consumer Discretionary - Travel &amp; Leisure,BBB,,20
535,Gemdale Properties and Investment Corporation Ltd.,Properties &amp; Construction - Properties,A-,BBB,28
